# Conceptual f_eff(Delta; p_red) for the manuscript Landau functional with alpha = u = 1.
# Columns: Delta  f_p=-0.6  f_p=-0.2  f_p=0  f_p=+0.2  f_p=+0.6
0.658431 0.177047 0.090340 0.046987 0.003634 -0.083072
0.661269 0.178986 0.091530 0.047803 0.004075 -0.083380
0.664107 0.180940 0.092732 0.048629 0.004525 -0.083683
0.666945 0.182910 0.093947 0.049465 0.004984 -0.083979
0.669783 0.184895 0.095173 0.050313 0.005452 -0.084270
0.672621 0.186896 0.096413 0.051171 0.005929 -0.084555
0.675459 0.188913 0.097664 0.052040 0.006415 -0.084834
0.678297 0.190946 0.098929 0.052920 0.006911 -0.085106
0.681135 0.192995 0.100206 0.053811 0.007417 -0.085372
0.683973 0.195060 0.101496 0.054714 0.007932 -0.085632
0.686811 0.197140 0.102799 0.055628 0.008457 -0.085885
0.689649 0.199238 0.104114 0.056553 0.008991 -0.086132
0.692487 0.201351 0.105443 0.057489 0.009536 -0.086372
0.695326 0.203481 0.106785 0.058438 0.010090 -0.086606
0.698164 0.205627 0.108141 0.059398 0.010654 -0.086832
0.701002 0.207790 0.109510 0.060369 0.011229 -0.087052
0.703840 0.209970 0.110892 0.061353 0.011814 -0.087264
0.706678 0.212167 0.112288 0.062348 0.012409 -0.087470
0.709516 0.214380 0.113697 0.063356 0.013015 -0.087668
0.712354 0.216610 0.115121 0.064376 0.013631 -0.087859
0.715192 0.218858 0.116558 0.065408 0.014258 -0.088042
0.718030 0.221123 0.118009 0.066452 0.014896 -0.088218
0.720868 0.223404 0.119474 0.067509 0.015544 -0.088386
0.723706 0.225704 0.120954 0.068579 0.016204 -0.088547
0.726544 0.228021 0.122447 0.069661 0.016874 -0.088699
0.729382 0.230355 0.123955 0.070756 0.017556 -0.088844
0.732220 0.232707 0.125478 0.071863 0.018249 -0.088981
0.735058 0.235077 0.127015 0.072984 0.018953 -0.089109
0.737896 0.237465 0.128567 0.074118 0.019669 -0.089230
0.740735 0.239871 0.130133 0.075265 0.020396 -0.089342
0.743573 0.242295 0.131715 0.076425 0.021135 -0.089445
0.746411 0.244737 0.133311 0.077598 0.021885 -0.089541
0.749249 0.247197 0.134922 0.078785 0.022648 -0.089627
0.752087 0.249676 0.136549 0.079986 0.023422 -0.089705
0.754925 0.252173 0.138191 0.081200 0.024209 -0.089774
0.757763 0.254689 0.139848 0.082428 0.025007 -0.089834
0.760601 0.257224 0.141521 0.083670 0.025818 -0.089885
0.763439 0.259777 0.143209 0.084925 0.026641 -0.089926
0.766277 0.262349 0.144913 0.086195 0.027477 -0.089959
0.769115 0.264941 0.146633 0.087479 0.028326 -0.089982
0.771953 0.267551 0.148369 0.088778 0.029187 -0.089996
0.774791 0.270181 0.150121 0.090090 0.030060 -0.090000
0.777629 0.272830 0.151889 0.091418 0.030947 -0.089994
0.780467 0.275498 0.153673 0.092760 0.031847 -0.089979
0.783306 0.278187 0.155473 0.094116 0.032760 -0.089954
0.786144 0.280894 0.157290 0.095488 0.033686 -0.089919
0.788982 0.283622 0.159123 0.096874 0.034625 -0.089874
0.791820 0.286369 0.160973 0.098275 0.035578 -0.089818
0.794658 0.289136 0.162840 0.099692 0.036544 -0.089752
0.797496 0.291924 0.164724 0.101124 0.037524 -0.089676
0.800334 0.294731 0.166624 0.102571 0.038518 -0.089589
0.803172 0.297559 0.168542 0.104034 0.039525 -0.089492
0.806010 0.300408 0.170477 0.105512 0.040547 -0.089384
0.808848 0.303276 0.172429 0.107006 0.041582 -0.089265
0.811686 0.306166 0.174399 0.108516 0.042632 -0.089135
0.814524 0.309076 0.176386 0.110041 0.043696 -0.088994
0.817362 0.312007 0.178391 0.111583 0.044775 -0.088841
0.820200 0.314960 0.180414 0.113141 0.045868 -0.088678
0.823038 0.317933 0.182454 0.114715 0.046976 -0.088503
0.825876 0.320927 0.184513 0.116306 0.048098 -0.088316
0.828715 0.323943 0.186589 0.117912 0.049236 -0.088118
0.831553 0.326980 0.188684 0.119536 0.050388 -0.087908
0.834391 0.330039 0.190797 0.121176 0.051556 -0.087686
0.837229 0.333119 0.192929 0.122833 0.052738 -0.087452
0.840067 0.336221 0.195079 0.124507 0.053936 -0.087206
0.842905 0.339345 0.197247 0.126199 0.055150 -0.086948
0.845743 0.342491 0.199435 0.127907 0.056379 -0.086678
0.848581 0.345659 0.201641 0.129632 0.057623 -0.086395
0.851419 0.348850 0.203867 0.131375 0.058884 -0.086099
0.854257 0.352062 0.206111 0.133136 0.060160 -0.085791
0.857095 0.355297 0.208375 0.134914 0.061453 -0.085470
0.859933 0.358555 0.210658 0.136710 0.062761 -0.085136
0.862771 0.361836 0.212961 0.138523 0.064086 -0.084789
0.865609 0.365139 0.215283 0.140355 0.065427 -0.084429
0.868447 0.368465 0.217625 0.142205 0.066785 -0.084056
0.871285 0.371814 0.219987 0.144073 0.068159 -0.083669
0.874124 0.375187 0.222368 0.145959 0.069550 -0.083268
0.876962 0.378582 0.224770 0.147864 0.070958 -0.082855
0.879800 0.382002 0.227192 0.149787 0.072383 -0.082427
0.882638 0.385444 0.229634 0.151729 0.073825 -0.081985
0.885476 0.388911 0.232097 0.153690 0.075284 -0.081530
0.888314 0.392401 0.234580 0.155670 0.076760 -0.081060
0.891152 0.395915 0.237084 0.157669 0.078254 -0.080576
0.893990 0.399453 0.239609 0.159687 0.079766 -0.080078
0.896828 0.403015 0.242155 0.161725 0.081295 -0.079565
0.899666 0.406601 0.244722 0.163782 0.082842 -0.079038
0.902504 0.410212 0.247310 0.165858 0.084407 -0.078496
0.905342 0.413848 0.249919 0.167954 0.085990 -0.077939
0.908180 0.417508 0.252549 0.170070 0.087591 -0.077367
0.911018 0.421192 0.255202 0.172206 0.089211 -0.076780
0.913856 0.424902 0.257875 0.174362 0.090849 -0.076178
0.916694 0.428637 0.260571 0.176538 0.092505 -0.075561
0.919533 0.432397 0.263289 0.178735 0.094181 -0.074928
