# Conceptual f(Delta, v; p_red=+0.3) - f(Delta, 1; p_red=+0.3) for four fixed Delta values.
# Columns: v  df_D=0.0  df_D=0.4  df_D=0.8  df_D=1.2
0.533389 0.108863 0.090198 0.034205 -0.059117
0.534224 0.108474 0.089843 0.033950 -0.059206
0.535058 0.108085 0.089488 0.033695 -0.059294
0.535893 0.107698 0.089133 0.033440 -0.059381
0.536728 0.107311 0.088780 0.033187 -0.059467
0.537563 0.106924 0.088427 0.032934 -0.059553
0.538397 0.106539 0.088074 0.032682 -0.059638
0.539232 0.106154 0.087723 0.032431 -0.059723
0.540067 0.105769 0.087372 0.032180 -0.059807
0.540902 0.105386 0.087022 0.031930 -0.059890
0.541736 0.105003 0.086672 0.031681 -0.059972
0.542571 0.104621 0.086324 0.031432 -0.060054
0.543406 0.104239 0.085975 0.031184 -0.060135
0.544240 0.103858 0.085628 0.030937 -0.060215
0.545075 0.103478 0.085281 0.030690 -0.060295
0.545910 0.103099 0.084935 0.030445 -0.060374
0.546745 0.102720 0.084590 0.030199 -0.060452
0.547579 0.102342 0.084245 0.029955 -0.060529
0.548414 0.101965 0.083902 0.029711 -0.060606
0.549249 0.101588 0.083558 0.029468 -0.060682
0.550083 0.101212 0.083216 0.029226 -0.060758
0.550918 0.100837 0.082874 0.028984 -0.060832
0.551753 0.100463 0.082533 0.028743 -0.060906
0.552588 0.100089 0.082192 0.028503 -0.060980
0.553422 0.099716 0.081853 0.028263 -0.061052
0.554257 0.099343 0.081514 0.028025 -0.061124
0.555092 0.098972 0.081175 0.027786 -0.061195
0.555927 0.098601 0.080838 0.027549 -0.061266
0.556761 0.098230 0.080501 0.027312 -0.061336
0.557596 0.097861 0.080164 0.027076 -0.061405
0.558431 0.097492 0.079829 0.026841 -0.061473
0.559265 0.097123 0.079494 0.026606 -0.061541
0.560100 0.096756 0.079160 0.026372 -0.061608
0.560935 0.096389 0.078826 0.026139 -0.061674
0.561770 0.096023 0.078494 0.025906 -0.061740
0.562604 0.095657 0.078162 0.025674 -0.061805
0.563439 0.095293 0.077830 0.025443 -0.061869
0.564274 0.094929 0.077500 0.025212 -0.061933
0.565109 0.094565 0.077170 0.024983 -0.061996
0.565943 0.094203 0.076840 0.024754 -0.062058
0.566778 0.093841 0.076512 0.024525 -0.062119
0.567613 0.093479 0.076184 0.024297 -0.062180
0.568447 0.093119 0.075857 0.024070 -0.062240
0.569282 0.092759 0.075530 0.023844 -0.062299
0.570117 0.092400 0.075204 0.023618 -0.062358
0.570952 0.092041 0.074879 0.023394 -0.062416
0.571786 0.091683 0.074555 0.023169 -0.062473
0.572621 0.091326 0.074231 0.022946 -0.062530
0.573456 0.090970 0.073908 0.022723 -0.062586
0.574290 0.090614 0.073586 0.022501 -0.062641
0.575125 0.090259 0.073264 0.022279 -0.062696
0.575960 0.089905 0.072943 0.022059 -0.062749
0.576795 0.089551 0.072623 0.021839 -0.062803
0.577629 0.089198 0.072304 0.021619 -0.062855
0.578464 0.088846 0.071985 0.021401 -0.062907
0.579299 0.088495 0.071667 0.021183 -0.062958
0.580134 0.088144 0.071349 0.020965 -0.063008
0.580968 0.087794 0.071033 0.020749 -0.063058
0.581803 0.087444 0.070716 0.020533 -0.063107
0.582638 0.087096 0.070401 0.020318 -0.063155
0.583472 0.086748 0.070086 0.020103 -0.063202
0.584307 0.086400 0.069773 0.019889 -0.063249
0.585142 0.086054 0.069459 0.019676 -0.063295
0.585977 0.085708 0.069147 0.019464 -0.063341
0.586811 0.085362 0.068835 0.019252 -0.063385
0.587646 0.085018 0.068524 0.019041 -0.063430
